gene_symbol	cluster	pearson_r	pearson_pvalue	pearson_fdr
PNN	6	0.6429752716804487	3.377164694060999e-9	1.667475067692618e-7
LUC7L2	6	0.6410562682184708	3.889046779243288e-9	1.772507859001268e-7
RSRC2	6	0.6402705301953866	4.119226034627257e-9	1.8078825374197406e-7
ACIN1	6	0.6388344735010366	4.573756486635958e-9	1.9208462859042004e-7
SNRNP48	6	0.6384573248794109	4.700805256643191e-9	1.9208462859042004e-7
RRP8	11	0.6361398524384583	1.7673087149969873e-5	0.0030094742689662983
MYEF2	6	0.6331384424243278	6.890836466442696e-9	2.634077810559547e-7
UTP6	6	0.6321246535795774	7.405799461399665e-9	2.742460113049563e-7
PPWD1	6	0.630729440892808	8.174529168168577e-9	2.9353991103878073e-7
PRPF4B	6	0.630285185226532	8.434802875193701e-9	2.9397768844425107e-7
RBBP6	2	0.6277465048430966	9.888812843191446e-11	9.470011121365415e-8
SMG1	6	0.6263817118816304	1.1085535473559018e-8	3.733458081814317e-7
HARS2	6	0.6260523513029568	1.1342151134625774e-8	3.733458081814317e-7
CWC25	6	0.6248106833628085	1.2361172870627367e-8	3.958916176133359e-7
TRA2A	6	0.623854849114753	1.320416372654654e-8	4.1176142147256974e-7
RBM6	4	0.6222833362435647	4.035727912796362e-8	9.669604079060082e-6
PRPF3	2	0.6222602548047784	1.599664040771185e-10	9.470011121365415e-8
RBM41	6	0.6202602490344701	1.6888759187377825e-8	5.131584522318646e-7
DDX10	6	0.6177994231259812	1.995241908002661e-8	5.910904152457883e-7
TSEN2	4	0.6170641746213866	5.632293635170089e-8	1.0504421157531965e-5
DDX55	4	0.6148589525974034	6.472337224982211e-8	1.0504421157531965e-5
RBM39	4	0.613574834751665	7.014638502525519e-8	1.0504421157531965e-5
CLK3	6	0.612760898889682	2.7944617940127566e-8	7.797473145409034e-7
FAM133B	6	0.6125730208470176	2.8294628291357675e-8	7.797473145409034e-7
MRPS5	6	0.6116160771325203	3.014278705195902e-8	8.118000603766237e-7
AKAP8L	11	0.6108568236222098	4.6378208285223055e-5	0.004638301587096615
TIA1	4	0.6104531297299857	8.517411980796015e-8	1.1337621725548474e-5
SRSF10	6	0.6103711704531626	3.271865779382984e-8	8.615913219041857e-7
XRN1	6	0.6092603206065181	3.5191934889065026e-8	9.065748444248273e-7
PRPF38B	6	0.6083264195641124	3.7407232404656617e-8	9.431397957344275e-7
SLTM	6	0.606998961054617	4.0784360661359956e-8	9.863156608920725e-7
CHD2	2	0.6068521711039571	5.88143799758276e-10	1.7409056472844968e-7
PRPF39	4	0.6057497599244716	1.1366231708134206e-7	1.3616745586344778e-5
LUC7L	6	0.6054266332455109	4.51579542016946e-8	1.070243514580162e-6
DDX17	4	0.60384861624106	1.2755404361044423e-7	1.3891794931392016e-5
SART3	6	0.6027374096038274	5.368439705891229e-8	1.2473727551923737e-6
RBM33	10	0.6013696724864718	2.9076959518732247e-9	3.4776043584403765e-06
TRMT1	4	0.6011296820501768	1.502270860777104e-7	1.4997670760091422e-5
DDX55	2	0.600729685821924	9.679786280319211e-10	2.0970769140641846e-7
TIA1	6	0.5995715736278654	6.567356181985434e-8	1.4965994376255268e-6
RBM14	2	0.5995678408314442	1.062707895640634e-9	2.0970769140641846e-7
ZNF207	6	0.5989810696314529	6.817335190417391e-8	1.5083219638996318e-6
THOC2	6	0.5988515265149577	6.87336591144136e-8	1.5083219638996318e-6
NXF1	6	0.5966954779754429	7.872340558215633e-8	1.696131556633732e-6
GPATCH8	6	0.5960529225225913	8.195664681776138e-8	1.7342611871258435e-6
ALG13	4	0.5951879618264546	2.1367173707102451e-7	1.969067238546826e-5
CELF6	6	0.5944377393391246	9.06475019238556e-8	1.8845138557854192e-6
