gene_symbol	plot_groups	pearson_r	pearson_pvalue	pearson_fdr
SNRNP48	Schwannoma	0.7704108486570336	0.0020585665936029584	0.03398269511735689
EIF3L	Other CNS embryonal tumor	-0.7703546628467838	0.025301782394699667	0.6083615623598504
RPL22L1	Schwannoma	0.7700483153337205	0.00207493794923291	0.03398269511735689
C1orf35	Mesenchymal tumor	0.7699235730664882	3.004071199632822e-4	0.051240871605165564
ZMAT2	Choroid plexus tumor	-0.7698484217764664	7.202846057516878e-5	0.0023549634907135985
CPNE3	Rare CNS tumor	-0.7698338253765719	3.0120168276527473e-4	0.05712368391566221
SART3	Schwannoma	0.7696094439214487	0.0020948922736923835	0.03398269511735689
MRPL28	Choroid plexus tumor	-0.7695682897718934	7.274024814813135e-5	0.0023549634907135985
EIF4ENIF1	Neurofibroma plexiform	-0.769473543845073	0.00925508313255308	0.18611610296796566
MCAT	Choroid plexus tumor	-0.7692486673209058	7.355976469244709e-5	0.0023549634907135985
RPL15	Germ cell tumor	-0.7689037813804165	0.025753901914332557	0.9965170093839139
PRPF38B	Schwannoma	0.7686185571757725	0.0021404957045976438	0.03398269511735689
RPS13	Neurofibroma plexiform	-0.7685603863574282	0.009391362795504446	0.18611610296796566
GRSF1	Atypical teratoid rhabdoid tumor	-0.768245236343543	1.1661461357269134e-5	0.0016948930714228044
GRB2	Choroid plexus tumor	-0.7682099561456956	7.627816086942172e-5	0.0023549634907135985
PRPF4B	Neurofibroma plexiform	-0.7681559627429172	0.009452168792524036	0.18611610296796566
HNRNPUL2	Schwannoma	0.7677782145522204	0.0021797739413587877	0.03398269511735689
CWC27	Schwannoma	0.767704065338566	0.002183266513821027	0.03398269511735689
TOP2A	Neurofibroma plexiform	-0.76718535001473	0.00959923452103269	0.18611610296796566
UBE2L3	Choroid plexus tumor	-0.7670971749140189	7.928589413200521e-5	0.0023549634907135985
PRKRA	Schwannoma	0.7667115360927713	0.002230437891633937	0.03398269511735689
SEC61B	Choroid plexus tumor	-0.7664014616216157	8.121771620446205e-5	0.0023549634907135985
