gene_symbol	clusters	pearson_r	pearson_pvalue	pearson_fdr
POLR2I	4	-0.6052907527528137	1.6452204978125744e-10	1.9298436439341496e-7
RDX	6	-0.604650068111956	2.348976820158245e-8	2.560384733972487e-6
DDX1	5	-0.6045584093119144	1.5457979282569893e-7	2.021560179509418e-5
ENOX1	10	-0.6042109847328002	1.7842240129734595e-5	0.0030408274963961957
CDK12	2	0.6013662519207534	9.518345656736152e-7	1.1422014788083383e-4
ERI3	5	-0.6008727367531089	1.923214061236786e-7	2.2636229500756972e-5
RRP8	8	0.600824949332327	1.2782659841557003e-5	0.001577236368463575
IFI16	6	-0.6005667251493881	3.086023925342967e-8	3.083452238738515e-6
DUS3L	8	0.5999597589583472	1.325408712994601e-5	0.001577236368463575
GRN	6	-0.5989809728757406	3.427524505229779e-8	3.161232216746542e-6
LUC7L	7	0.5988991795672367	1.4080803770668277e-9	2.2685831343802287e-7
LGALS1	10	-0.5983227432217341	2.2593204155083652e-5	0.00311312252849853
PABPN1	7	0.5978344889312769	1.531532917725049e-9	2.2685831343802287e-7
FARSB	5	-0.5978018273126655	2.3023445161126346e-7	2.463508632240519e-5
PUS1	10	0.5973455188083324	2.348541723091934e-5	0.00311312252849853
SARS2	2	0.5971406770038719	1.1858174774485149e-6	1.2373889546500743e-4
MRPL39	5	-0.596241724075716	2.520908307165227e-7	2.47259089794456e-5
PRPF40B	2	0.5951910033092664	1.3109999337017677e-6	1.2373889546500743e-4
RBM6	2	0.5947568850354191	1.3405047008709138e-6	1.2373889546500743e-4
XRCC5	5	-0.5943105319194838	2.8185410313363205e-7	2.5518636876021916e-5
SRRT	8	0.5940216097818936	1.6946374092903515e-5	0.001833289560959562
CLK3	7	0.593791478641031	2.101445950291545e-9	2.766903834550534e-7
LSM2	6	-0.5929129871865472	5.0949425674879643e-8	4.084841537988547e-6
RPN1	6	-0.5922527064097451	5.316906616239463e-8	4.084841537988547e-6
ECH1	4	-0.5921274754457482	5.075162103789186e-10	2.976582573872358e-7
TCOF1	2	0.5920682827488177	1.5375038489623083e-6	1.2739738214909493e-4
DHX34	2	0.5913756146837784	1.5924672768636868e-6	1.2739738214909493e-4
APOBEC3C	6	-0.5913516367217323	5.6346333785228133e-8	4.084841537988547e-6
TBRG4	8	0.5912972934711694	1.8938099270756495e-5	0.0018780281776833525
CSTB	10	-0.5911389830032263	2.994719305589713e-5	0.0033190260212987376
LARP4	5	-0.5910822835206196	3.391094183498967e-7	2.8509413242702028e-5
SEC61A1	6	-0.5909238768844407	5.7916852498586576e-8	4.084841537988547e-6
RBM6	10	0.5905796156413268	3.060292224164804e-5	0.0033190260212987376
GSPT2	5	-0.5887664440210534	3.8673987326108673e-7	2.9591695002411363e-5
QKI	6	-0.5883175389363321	6.84193180455414e-8	4.557486796478008e-6
RBM14	10	0.5879926982623079	3.380963423117042e-5	0.0033612411364821924
KHDRBS2	2	0.5877125269342114	1.9149351713291785e-6	1.4362013784968838e-4
ANKRD17	5	-0.5870702950485486	4.255426593047892e-7	2.9591695002411363e-5
MRPL13	5	-0.5862928652146407	4.4452561174908675e-7	2.9591695002411363e-5
FASTKD2	5	-0.585973610723902	4.5254928635803274e-7	2.9591695002411363e-5
GANAB	5	-0.583769390576596	5.117757403820456e-7	3.02615747895609e-5
EMG1	10	0.5836473350892275	3.9894073474117464e-5	0.0036610484349709335
CTNNA1	6	-0.5831222145507193	9.496428723039168e-8	5.99274633627577e-6
FAM120A	4	-0.5826709217981014	1.1054884202822209e-9	3.2515283390540043e-7
RAVER1	4	-0.5826341027281376	1.1087905674523459e-9	3.2515283390540043e-7
IPO5	5	-0.5826223734322512	5.454053427655706e-7	3.02615747895609e-5
MTHFSD	2	0.582586047875507	2.469431546842306e-6	1.7431281507122162e-4
UTP23	5	-0.5824094520267346	5.51872194790584e-7	3.02615747895609e-5
FCF1	5	-0.5815799222321938	5.777602685394855e-7	3.02615747895609e-5
APOBEC3C	8	-0.5815431450728618	2.796350626049765e-5	0.002256011798955057
PRPF3	2	0.5813923640001903	2.6184472302618782e-6	1.7456314868412524e-4
FASTKD3	5	-0.5811584184378298	5.913476806796098e-7	3.02615747895609e-5
S100A16	6	-0.581115550771467	1.0761985634890615e-7	6.451810388116923e-6
ZFC3H1	8	0.5808274457982012	2.876055903142556e-5	0.002256011798955057
PRPF40B	7	0.5799593747940951	6.005148580665016e-9	7.116101068088045e-7
KCTD12	6	-0.5798307965490376	1.165432046748735e-7	6.654062019293968e-6
DDX51	10	0.5795401682576498	4.654778726299505e-5	0.0038238841813134274
POLR2B	5	-0.578916822575565	6.687944965654522e-7	3.279879676906405e-5
ANXA7	10	-0.5786713102981511	4.8079013176614766e-5	0.0038238841813134274
PLEC	4	-0.578598287125881	1.5341268658163205e-9	3.599061627205088e-7
FTSJ3	2	0.5781815606425937	3.061917667719386e-6	1.9338427375069806e-4
RBM19	2	0.57708027678015	3.2294901120375954e-6	1.9376940672225572e-4
PNN	7	0.5770362640468898	7.450653322098724e-9	8.026385624260899e-7
NOP56	10	0.5769078255021497	5.1329028493045653e-5	0.0038272206870127163
GEMIN5	5	-0.5764934214831653	7.631871884378781e-7	3.59308528316553e-5
MRPS5	8	0.5762248288359938	3.440412759926872e-5	0.002256011798955057
