gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
POLRMT	2876.780306196314	0.3141714816103125	0.059211862635165945	5.305887496667364	1.1212610044081614e-7	2.9997372325724836e-7	P-Adj < 0.05
LSG1	1808.7583408469354	0.13302758578209223	0.0324364116264575	4.101180713639274	4.1104738336497374e-5	8.46757609731846e-5	P-Adj < 0.05
JMJD6	1569.7844580788171	0.5634630336145221	0.06490920262958126	8.680788097645394	3.930358136753572e-18	2.891620629182985e-17	P-Adj < 0.05
MRPL20	1661.0957415189682	0.09003084470286704	0.040114102809159835	2.2443688976712948	0.024808675947511447	0.03565525985014436	P-Adj < 0.05
DYNC1LI1	1507.0333925172251	0.24689271497719226	0.04255807264822079	5.801313349360853	6.579751058260108e-9	2.0280728947654596e-8	P-Adj < 0.05
BOP1	2159.9067070476717	0.3011146256209325	0.07478052807411785	4.026644814843862	5.657839906781595e-5	1.1426617850951063e-4	P-Adj < 0.05
DCAF13	1213.2820018918471	0.16137467341276518	0.06238302802851424	2.5868361718351265	0.009686163349163585	0.01478036777724221	P-Adj < 0.05
FASTK	2342.421511500799	0.33089217289546735	0.05385426620249872	6.144214678392827	8.036009723498996e-10	2.774443580515296e-9	P-Adj < 0.05
THOC5	2246.6874587130296	0.6567355517211235	0.0613528728578415	10.704234718442956	9.723070786767887e-27	1.4655750600542814e-25	P-Adj < 0.05
EBNA1BP2	1570.2680196235408	0.17382734556534923	0.044657855457364455	3.892424832878616	9.924725442328716e-5	1.9318048262548492e-4	P-Adj < 0.05
UTP20	2063.7837887209703	0.16417807671828746	0.05310141984040366	3.091783180406941	0.0019895811241537496	0.0033186535350256873	P-Adj < 0.05
ASS1	1806.96574907657	1.0938640112809797	0.17697404357189905	6.180929074136099	6.372544398407625e-10	2.244007087302514e-9	P-Adj < 0.05
TRIP6	3167.487418059749	-0.3325488741953841	0.11885982650126181	-2.797823991370657	0.005144813972261706	0.008205148477052216	P-Adj < 0.05
RBM19	2653.9682016476318	0.46377873794627633	0.0652420911395214	7.108581742949917	1.1724145271580939e-12	5.447760735215804e-12	P-Adj < 0.05
CLK2	1716.653181126624	0.6304567146036135	0.06120525059215975	10.300696566127181	6.99529144275382e-25	9.101242340256548e-24	P-Adj < 0.05
ZCCHC17	1629.6735838775237	-0.41995348114345893	0.05599529248951736	-7.499799759454362	6.391539663397569e-14	3.390533486677852e-13	P-Adj < 0.05
PARN	1751.1843992270685	-0.16731211661924497	0.03530013083800942	-4.739702450028645	2.140322906883048e-6	4.908050302240162e-6	P-Adj < 0.05
RARS2	1613.9808361220614	0.5384205317930595	0.048367193904310386	11.131936511724666	8.770904176939766e-29	1.5486910803853645e-27	P-Adj < 0.05
GLRX3	1136.8683260261794	0.16807271466658888	0.04139568100967586	4.060150976313288	4.904099488545914e-5	1.000242073901444e-4	P-Adj < 0.05
SURF6	2460.560198243697	0.2378521146898319	0.058456116894391445	4.068900353397448	4.7235541943794716e-5	9.666081099756667e-5	P-Adj < 0.05
MRPS5	1528.5077041378056	0.5034648169198193	0.03764054791226954	13.375597456585025	8.397620270396358e-41	3.579123673865482e-39	P-Adj < 0.05
RRP12	1749.9804604675594	0.34756307641603557	0.06258173097713614	5.553746612458125	2.796107163045713e-8	8.018534694952438e-8	P-Adj < 0.05
ZCCHC3	1734.6147999212926	0.13591485918775703	0.05350484481030247	2.540234621175583	0.011077812746353704	0.01671816429120046	P-Adj < 0.05
