Kids_First_Biospecimen_ID	Astrocytes	Endothelial	Microglia	Neurons	Oligodendrocytes	OPCs
BS_XKKB4MZV	0.023937960689354176	-0.009950237087970708	-0.007185923084134518	-0.019441750653802218	-0.004434876737305204	0.06062870763939081
BS_4EN8D8Y4	-0.009761809280648761	-0.011754789739548382	0.06641667394082743	-0.02215444041386614	-0.006334308365920924	-0.005287040133630676
BS_ZTWGFWTX	-0.02581746679796634	-0.00512443082419881	-0.016010183410122406	-0.022556975112915583	-0.004817109665815786	0.004829978126336366
BS_66ABA973	0.023991959470920893	-0.013407514901934382	0.00997939125703421	-0.018933090229903093	-0.0034565292945325683	0.08802876245369341
BS_Y0PCBNJV	0.004415011501772798	-0.011175195813981516	0.003501586662316852	-0.018127055703073842	-0.006468862734421501	0.06265355666526347
BS_N210XMKR	-0.010503238801146038	-0.01354974162601182	0.039720539957488	-0.015467631664951244	-0.002843861728385635	0.11352292209110061
BS_5PV5N4HQ	0.01838881406048661	-0.012586551706929629	-0.00220212046356377	-0.016699344416307032	6.18334642221445e-4	0.0990216322634212
BS_S50KQEXV	0.04610539795236229	-0.012349328915843661	0.024220791868468195	-0.017760405530391817	-0.006870201214514019	0.07033730213163555
BS_NRFQEQKP	0.016992324474454062	-0.012268470398978833	-0.0012192520572342873	-0.01601029833404097	-0.005489956462096295	0.09449860659793566
BS_8J3B6ZB6	0.026599028277165877	-0.012725499774403275	0.03153994800916751	-0.021100117986854905	-0.006210764048094844	0.03573587087576723
BS_Q3TBCK4V	0.014502469392162204	-0.012933433944852607	0.0024622744451107104	-0.018422692909052213	-0.006721794020757803	0.031044410200021973
BS_XGSA3GQE	0.00922645032309651	-0.0120076421320521	0.04389767830460879	-0.017031306144838457	-0.006135187144853728	0.06344640386333336
BS_A13BMEF5	0.023219884716136344	-0.012051764453395682	0.007848741791254167	-0.014881371483932327	-0.0070857883104941165	0.073655812061481
BS_9HSGV9TJ	-0.007258685674034013	0.0033118417864432762	0.07226448272189508	-0.022649443094735384	-0.0075005258309582745	-0.005360147329869976
BS_VR7FR1NE	0.05323335369826137	-0.013935524511737152	-0.006157704382985286	-0.022232919613119236	-0.007558076637022795	0.011999034207488235
BS_R13X6TMW	-0.027031061355602105	-0.013140484739777162	-0.017059997332049603	-0.024214457074821345	-0.006656687132414694	-0.008004064828660637
BS_AP0SZ364	0.0558119833797751	-0.010952777090456651	0.06939663290002834	-0.01795037067546683	-0.0053673892302182665	0.026880577438236287
BS_A1VEGWTR	0.07029989410926284	-0.01357284981269081	-0.0066594587803852434	-0.017528918679740782	-0.006534037020755908	0.07671196855517566
BS_RVSEDNJ4	8.118132763910203e-5	-0.013167802472426101	-0.013018840322038887	-0.014935942653254352	-0.004769496544376486	0.07404066677208213
BS_1NPD7PVG	0.004706308458356436	-0.014003855633505084	0.007407655947238992	-0.009623404082426137	-0.006993389252093196	0.0219771935608788
BS_23W9EPFE	0.007725316401607071	-0.013474146305489331	-0.029692845841702554	-0.024651992679202213	0.18218244677408146	-0.017522844164671127
